iter	Passed	Remaining
0	119	118999
1	119	59792
2	120	40027
3	121	30141
4	121	24211
5	122	20258
6	122	17434
7	123	15315
8	124	13668
9	124	12349
10	125	11270
11	125	10370
12	126	9605
13	127	8948
14	127	8377
15	128	7879
16	128	7438
17	129	7046
18	129	6695
19	130	6385
20	130	6100
21	131	5840
22	132	5608
23	132	5392
24	133	5196
25	133	5012
26	134	4843
27	134	4684
28	135	4536
29	136	4399
30	136	4269
31	137	4147
32	137	4034
33	138	3926
34	138	3824
35	139	3727
36	139	3638
37	140	3553
38	140	3471
39	141	3394
40	142	3321
41	142	3253
42	143	3187
43	143	3125
44	144	3067
45	145	3014
46	146	2962
47	146	2913
48	147	2866
49	148	2819
50	149	2773
51	149	2729
52	150	2686
53	150	2644
54	151	2604
55	152	2566
56	152	2529
57	153	2493
58	154	2459
59	154	2426
60	155	2394
61	156	2363
62	156	2333
63	157	2304
64	158	2277
65	159	2250
66	159	2225
67	160	2201
68	161	2178
69	162	2155
70	163	2132
71	163	2110
72	164	2089
73	165	2068
74	166	2047
75	166	2026
76	167	2006
77	168	1986
78	168	1967
79	169	1948
80	170	1930
81	170	1912
82	171	1891
83	172	1876
84	172	1861
85	173	1845
86	174	1830
87	175	1814
88	175	1799
89	176	1786
90	177	1772
91	178	1758
92	178	1744
93	179	1730
94	180	1717
95	181	1704
96	181	1691
97	182	1679
98	183	1666
99	183	1654
100	184	1642
101	185	1631
102	186	1620
103	186	1610
104	187	1600
105	188	1591
106	189	1580
107	190	1569
108	190	1559
109	191	1549
110	192	1539
111	192	1530
112	193	1520
113	194	1511
114	195	1501
115	195	1492
116	196	1482
117	197	1473
118	197	1464
119	198	1456
120	199	1447
121	199	1438
122	200	1429
123	201	1426
124	202	1419
125	203	1411
126	204	1403
127	204	1396
128	205	1389
129	206	1381
130	207	1374
131	207	1367
132	208	1359
133	209	1352
134	209	1345
135	210	1338
136	211	1331
137	212	1324
138	213	1320
139	214	1314
140	214	1308
141	215	1300
142	216	1295
143	217	1290
144	217	1285
145	218	1279
146	219	1274
147	220	1268
148	220	1262
149	221	1256
150	222	1250
151	223	1245
152	223	1239
153	224	1233
154	225	1229
155	226	1224
156	227	1219
157	227	1214
158	228	1209
159	229	1203
160	229	1197
161	230	1192
162	231	1187
163	232	1182
164	232	1178
165	233	1173
166	234	1168
167	235	1164
168	235	1159
169	236	1155
170	237	1150
171	238	1146
172	238	1141
173	239	1137
174	240	1132
175	240	1128
176	241	1123
177	242	1119
178	243	1114
179	243	1110
180	244	1106
181	245	1101
182	246	1098
183	246	1094
184	247	1090
185	248	1086
186	248	1082
187	249	1078
188	250	1074
189	251	1070
190	251	1066
191	252	1062
192	253	1058
193	253	1054
194	254	1051
195	255	1047
196	255	1043
197	256	1039
198	257	1035
199	258	1032
200	258	1028
201	259	1024
202	260	1021
203	261	1018
204	261	1015
205	262	1012
206	263	1008
207	264	1005
208	264	1002
209	265	998
210	266	995
211	266	991
212	267	988
213	268	985
214	268	982
215	269	978
216	270	975
217	271	973
218	272	970
219	273	968
220	273	965
221	274	962
222	275	959
223	276	956
224	276	953
225	277	951
226	278	948
227	279	945
228	279	942
229	280	940
230	281	937
231	282	934
232	283	932
233	283	929
234	284	926
235	285	923
236	285	920
237	286	917
238	287	915
239	288	912
240	288	909
241	289	906
242	290	905
243	291	903
244	292	900
245	293	898
246	294	896
247	294	894
248	295	891
249	296	889
250	297	886
251	297	884
252	298	881
253	299	879
254	299	876
255	300	873
256	301	871
257	302	868
258	302	866
259	303	863
260	304	861
261	305	859
262	305	856
263	306	854
264	307	852
265	308	850
266	308	848
267	309	846
268	310	843
269	311	841
270	312	839
271	312	837
272	313	834
273	314	832
274	314	830
275	315	827
276	316	825
277	317	823
278	317	821
279	318	818
280	319	816
281	320	814
282	320	812
283	321	810
284	322	808
285	322	806
286	323	803
287	324	801
288	324	799
289	325	797
290	326	795
291	327	793
292	327	790
293	328	788
294	329	786
295	329	784
296	330	782
297	331	780
298	331	778
299	332	775
300	333	774
301	335	774
302	335	772
303	336	770
304	337	768
305	338	767
306	338	765
307	339	763
308	340	761
309	341	759
310	341	757
311	342	755
312	343	753
313	343	751
314	344	749
315	345	747
316	345	745
317	346	743
318	347	741
319	348	739
320	348	737
321	350	737
322	351	737
323	352	735
324	353	733
325	353	731
326	354	729
327	355	727
328	355	725
329	356	724
330	357	722
331	357	720
332	358	718
333	359	716
334	360	714
335	360	712
336	361	711
337	362	709
338	362	707
339	363	705
340	364	704
341	365	702
342	365	700
343	366	699
344	367	697
345	368	695
346	368	693
347	369	692
348	370	690
349	370	688
350	371	686
351	372	685
352	372	683
353	373	681
354	374	680
355	375	679
356	376	677
357	377	676
358	377	674
359	378	673
360	379	671
361	380	670
362	381	668
363	381	667
364	382	665
365	383	663
366	383	662
367	384	660
368	385	659
369	386	657
370	386	655
371	387	654
372	388	653
373	389	651
374	390	650
375	390	648
376	391	646
377	392	645
378	392	643
379	393	642
380	394	640
381	395	639
382	396	638
383	396	636
384	397	635
385	398	633
386	399	632
387	400	631
388	400	629
389	401	628
390	402	626
391	403	625
392	403	623
393	404	622
394	405	621
395	406	619
396	407	618
397	408	617
398	408	615
399	409	614
400	410	613
401	411	612
402	412	610
403	413	609
404	413	608
405	414	606
406	415	605
407	416	603
408	416	602
409	417	600
410	418	599
411	418	597
412	419	596
413	420	595
414	421	593
415	421	592
416	422	590
417	423	589
